"filename", "language", "JSON", "TypeScript", "HTML", "JavaScript", "JSON with Comments", "Batch", "XML", "Rust", "TOML", "Markdown", "TypeScript JSX", "YAML", "CSS", "Protocol Buffers", "comment", "blank", "total"
"c:\Users\gamin\Desktop\Projects\strife\index.html", "HTML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\gamin\Desktop\Projects\strife\package.json", "JSON", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 55
"c:\Users\gamin\Desktop\Projects\strife\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2470, 0, 0, 0, 347, 2817
"c:\Users\gamin\Desktop\Projects\strife\public\LoginPage\LeftBottom1.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\gamin\Desktop\Projects\strife\public\LoginPage\LeftBottom2.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\gamin\Desktop\Projects\strife\public\LoginPage\LeftBottom3.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\gamin\Desktop\Projects\strife\public\LoginPage\LeftTop1.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\gamin\Desktop\Projects\strife\public\LoginPage\LeftTop2.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\gamin\Desktop\Projects\strife\public\LoginPage\RightTop1.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\gamin\Desktop\Projects\strife\public\LoginPage\RightTop2.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\gamin\Desktop\Projects\strife\public\SplashScreen\splashscreen.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 6, 148
"c:\Users\gamin\Desktop\Projects\strife\public\SplashScreen\splashscreen.html", "HTML", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\gamin\Desktop\Projects\strife\public\icon.svg", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\gamin\Desktop\Projects\strife\public\test.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\gamin\Desktop\Projects\strife\shared-types\SharedTypes.proto", "Protocol Buffers", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 325, 0, 62, 387
